Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 0 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 1 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 1 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 2 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 2 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 3 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 3 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 4 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 1 | cursor_position: 4 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 1 | cursor_position: 5 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 5 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 2 | cursor_position: 5 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 2 | cursor_position: 6 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 2 | cur_line: 2 | cursor_position: 6 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 2 | cur_line: 3 | cursor_position: 6 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 2 | cur_line: 3 | cursor_position: 7 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 3 | cur_line: 3 | cursor_position: 7 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 3 | cur_line: 4 | cursor_position: 7 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 3 | cur_line: 4 | cursor_position: 8 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 8 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 4 | cur_line: 5 | cursor_position: 8 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 4 | cur_line: 5 | cursor_position: 9 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 9 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 5 | cur_line: 6 | cursor_position: 9 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 6 | cursor_position: 10 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 6 | cur_line: 6 | cursor_position: 10 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 6 | cur_line: 7 | cursor_position: 10 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 6 | cur_line: 7 | cursor_position: 11 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 7 | cur_line: 7 | cursor_position: 11 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 7 | cur_line: 8 | cursor_position: 11 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 7 | cur_line: 8 | cursor_position: 12 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 8 | cur_line: 8 | cursor_position: 12 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 8 | cur_line: 9 | cursor_position: 12 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 8 | cur_line: 9 | cursor_position: 13 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 13 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 13 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 14 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 14 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 15 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 15 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 16 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 16 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 17 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 17 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 18 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 18 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 19 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 19 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 9 | cur_line: 9 | cursor_position: 20 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 9 | cur_line: 10 | cursor_position: 20 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 9 | cur_line: 10 | cursor_position: 21 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 10 | cur_line: 10 | cursor_position: 21 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 10 | cur_line: 11 | cursor_position: 21 | frame_height: 40
